# ------------------------------------------------------------------------------------------
# wid_name,	name string,	subtitle string,	desc string,	
#
a101_bennyjacks_bbqshack,	723,	724,	725,	711,	
a102_shot_n_awe,	726,	727,	728,	711,	
a103_star_spangled,	729,	730,	731,	711,	
americana_f1,	10508,	10508,	732,	711,	
royalflush_f1,	10508,	10508,	834,	832,	
r101,	733,	734,	735,	832,	
r102,	736,	737,	738,	832,	
r103,	739,	740,	741,	832,	
r104,	742,	743,	744,	832,	
r105,	745,	746,	747,	832,	
r106,	748,	749,	750,	832,	
r107,	751,	752,	753,	832,	
r108,	754,	755,	756,	832,	
r109,	757,	758,	759,	832,	
r110,	760,	761,	762,	832,	
r111,	763,	764,	765,	832,	
r112,	766,	767,	768,	832,	
r113,	769,	770,	771,	832,	
r114,	772,	773,	774,	832,	
r115,	775,	776,	777,	832,	
r116,	778,	779,	780,	832,	
r117,	829,	830,	831,	832,	
r118,	781,	782,	783,	832,	
r119,	784,	785,	786,	832,	
r120,	787,	788,	789,	832,	
arena_f1,	10508,	10508,	837,	835,	
e101,	838,	839,	840,	835,	
e102,	841,	842,	843,	835,	
paradisewalk_f1,	10508,	10508,	849,	847,	
s101,	850,	851,	852,	847,	
s102,	853,	854,	855,	847,	
s103,	856,	857,	858,	847,	
s104,	859,	860,	861,	847,	
s105,	862,	863,	864,	847,	
s106,	865,	866,	867,	847,	
s107,	868,	869,	870,	847,	
s108,	871,	872,	873,	847,	
silverstrip_f1,	10508,	10508,	1504,	1502,	
n101,	1505,	1506,	1507,	1502,	
n102,	1508,	1509,	1510,	1502,	
n103,	1511,	1512,	1513,	1502,	
n104,	1514,	1515,	1516,	1502,	
n105,	1517,	1518,	1519,	1502,	
n106,	1520,	1521,	1522,	1502,	
n107,	1523,	1524,	1525,	1502,	
n108,	1526,	1527,	1528,	1502,	
n109,	1529,	1530,	1531,	1502,	
n110,	1532,	1533,	1534,	1502,	
n111,	1551,	1552,	1553,	1502,	
slotbarn_f1,	10508,	10508,	890,	888,	
foodcourt_f1,	10508,	10508,	893,	891,	
f101,	894,	895,	896,	891,	
f102,	897,	898,	899,	891,	
f103,	900,	901,	902,	891,	
f104,	903,	904,	905,	891,	
f105,	906,	907,	908,	891,	
f106,	909,	910,	911,	891,	
f107,	912,	913,	914,	891,	
f108,	924,	925,	926,	891,	
yucatan_f1,	10508,	10508,	917,	915,	
y101,	918,	919,	920,	915,	
y102,	921,	922,	923,	915,	
palisades_f1,	10508,	10508,	1408,	1406,	
p101,	1409,	1410,	1411,	1406,	
p102,	1412,	1413,	1414,	1406,	
p103,	1415,	1416,	1417,	1406,	
p104,	1418,	1419,	1420,	1406,	
p105,	1421,	1422,	1423,	1406,	
p106,	1424,	1425,	1426,	1406,	
p107,	1427,	1428,	1429,	1406,	
p108,	1430,	1431,	1432,	1406,	
p109,	1433,	1434,	1435,	1406,	
p110,	1436,	1437,	1438,	1406,	
p111,	1439,	1440,	1441,	1406,	
p112,	1442,	1443,	1444,	1406,	
p113,	1445,	1446,	1447,	1406,	
p114,	1448,	1449,	1450,	1406,	
atlantica_f1,	10508,	10508,	1402,	1400,	
t101,	1403,	1404,	1405,	1400,	
southplaza_f1,	10508,	10508,	881,	879,	
prospectpark_f1,	10508,	10508,	884,	882,	
hotel_f1,	10508,	10508,	887,	885,	
savepoint,	-210.4,	-1.5,	-153.2,	LEVEL_ROYAL_FLUSH,	
workbench_3,	-287.9,	-1.5,	-99.5,	LEVEL_ROYAL_FLUSH,	
workbench_1,	-164.8,	-1.5,	-154.7,	LEVEL_ROYAL_FLUSH,	
workbench_3,	-149.9,	-1.5,	-59.7,	LEVEL_ROYAL_FLUSH,	
underground_exit,	-138.6,	-1.6,	-62.1,	LEVEL_ROYAL_FLUSH,	
workbench_3,	-388.5,	-4.7,	-8.2,	LEVEL_AMERICANA_CASINO,	
savepoint,	-456.2,	-4.7,	-19.3,	LEVEL_AMERICANA_CASINO,	
underground_exit,	-448.8,	-4.7,	-1.3,	LEVEL_AMERICANA_CASINO,	
workbench_1,	-233.1,	-4.3,	-25.8,	LEVEL_FORTUNE_EXTERIOR,	
workbench_4,	-124.4,	-1.5,	-38,	LEVEL_FORTUNE_EXTERIOR,	
workbench_4,	-76.9,	-3.1,	0.3,	LEVEL_FORTUNE_EXTERIOR,	
workbench_2,	-32.4,	-1.2,	65.4,	LEVEL_FORTUNE_EXTERIOR,	
workbench_2,	-192.9,	-4.2,	38.3,	LEVEL_FORTUNE_EXTERIOR,	
workbench_2,	-351,	-7.7,	88.1,	LEVEL_FORTUNE_EXTERIOR,	
workbench_3,	-42.0,	0.7,	-79.0,	LEVEL_FORTUNE_EXTERIOR,	
workbench_2,	30.9,	0.7,	-42.1,	LEVEL_FORTUNE_EXTERIOR,	
workbench_1,	72.2,	0.7,	-89.2,	LEVEL_FORTUNE_EXTERIOR,	
workbench_2,	88.2,	0.7,	-102.8,	LEVEL_FORTUNE_EXTERIOR,	
workbench_4,	54.8,	0.7,	-166.4,	LEVEL_FORTUNE_EXTERIOR,	
workbench_3,	162.1,	0.7,	-121.8,	LEVEL_FORTUNE_EXTERIOR,	
pawnshop,	42.0,	0.7,	-158.5,	LEVEL_FORTUNE_EXTERIOR,	
pawnshop,	-207.7,	-4.2,	38.4,	LEVEL_FORTUNE_EXTERIOR,	
underground_exit,	8.1,	0.7,	-25.1,	LEVEL_FORTUNE_EXTERIOR,	
elevator_up,	-5.2,	0.7,	-4.1,	LEVEL_FORTUNE_EXTERIOR,	
elevator_up,	-221.8,	-4.3,	-18.7,	LEVEL_FORTUNE_EXTERIOR,	
savepoint,	-79.7,	-1.8,	20.8,	LEVEL_FORTUNE_EXTERIOR,	
