# ------------------------------------------------------------------------------------------
# level_num						name			description							min_x					max_x					min_z					max_z		basement_y		second_floor_y 			map_z			parent_map					defintion file
#
#	EXTERIOR MUST BE FIRST MAP SO THAT WE CAN DEFAULT TO IT, OTHERWISE ORDER DOESN'T MATTER

LEVEL_SAFEHOUSE,				707,			708,									-525.06,				356.19,				-358.74,				252.25,			-100.0,				100.0,	
LEVEL_AMERICANA_CASINO,			711,			732,									-532.05,				403.82,				-357.66,				261.81,			-100.0,				-3.6,	
LEVEL_ROYAL_FLUSH,				712,			712,									-542.04,				377.69,				-362.69,				264.57,			-100.0,				4.0,
LEVEL_FOOD_BARN,				714,			714,									-530.30,				376.26,				-354.27,				245.63,			-100.0,				100.0,
LEVEL_YUCATAN_CASINO,			715,			715,									-371.82,				477.54,				-400.81,				185.72,			-100.0,				100.0,
LEVEL_PALISADES,				716,			716,									-550.52,				357.36,				-371.30,				258.35,			-100.0,				4.5,
LEVEL_TAPE_DIE,					716,			716,									-550.52,				357.36,				-371.30,				258.35,			-100.0,				4.5,
LEVEL_ATLANTICA_CASINO,			717,			717,									-520.77,				344.12,				-346.01,				241.99,			-100.0,				100.0,
LEVEL_SOUTH_PLAZA,				718,			718,									-536.18,				361.81,				-364.14,				250.75,			-100.0,				100.0,
LEVEL_FORTUNE_EXTERIOR,			709,			710,									-536.06,				371.64,				-360.37,				255.18,			-100.0,				100.0,
LEVEL_ARENA_BACKSTAGE,			709,			710,									-530.57,				328.25,				-332.99,				248.64,			2.0,				100.0,
LEVEL_TKOT_BATTLE,				709,			710,									-530.57,				328.25,				-332.99,				248.64,			2.0,				100.0,
LEVEL_UNDERGROUND,				709,			710,									-532.07,				362.73,				-364.59,				249.73,			-100.0,				100.0,
LEVEL_LABORATORY,				709,			710,									-532.07,				362.73,				-364.59,				249.73,			-100.0,				100.0,
LEVEL_ROOFTOP_HOTEL,			709,			710,									-536.06,				371.64,				-360.37,				255.18,			-100.0,				100.0,
LEVEL_ROOFTOP_YUCATAN,			709,			710,									-536.06,				371.64,				-360.37,				255.18,			-100.0,				100.0,
LEVEL_ROOFTOP_ATLANTICA,		709,			710,									-536.06,				371.64,				-360.37,				255.18,			-100.0,				100.0,
LEVEL_ROOFTOP_ROYAL,			709,			710,									-536.06,				371.64,				-360.37,				255.18,			-100.0,				100.0,
LEVEL_ROOFTOP_SAFEHOUSE,		709,			710,									-536.06,				371.64,				-360.37,				255.18,			-100.0,				100.0,
LEVEL_ROOFTOP_THEATER,			709,			710,									-536.06,				371.64,				-360.37,				255.18,			-100.0,				100.0,
LEVEL_BOSSBATTLE_TRAIN,			709,			710,									-532.07,				362.73,				-364.59,				249.73,			-100.0,				100.0,
