name,0
mSHRenderMatrixRed.00,-0.00058
mSHRenderMatrixRed.01,0.00712
mSHRenderMatrixRed.02,-0.00198
mSHRenderMatrixRed.03,0.01473
mSHRenderMatrixRed.10,0.00712
mSHRenderMatrixRed.11,0.00058
mSHRenderMatrixRed.12,-0.00272
mSHRenderMatrixRed.13,0.01718
mSHRenderMatrixRed.20,-0.00198
mSHRenderMatrixRed.21,-0.00272
mSHRenderMatrixRed.22,0.00218
mSHRenderMatrixRed.23,0.00097
mSHRenderMatrixRed.30,0.01473
mSHRenderMatrixRed.31,0.01718
mSHRenderMatrixRed.32,0.00097
mSHRenderMatrixRed.33,0.12763
mSHRenderMatrixGreen.00,-0.00142
mSHRenderMatrixGreen.01,0.02063
mSHRenderMatrixGreen.02,-0.00659
mSHRenderMatrixGreen.03,0.04186
mSHRenderMatrixGreen.10,0.02063
mSHRenderMatrixGreen.11,0.00142
mSHRenderMatrixGreen.12,-0.00764
mSHRenderMatrixGreen.13,0.04863
mSHRenderMatrixGreen.20,-0.00659
mSHRenderMatrixGreen.21,-0.00764
mSHRenderMatrixGreen.22,0.0099
mSHRenderMatrixGreen.23,0.0094
mSHRenderMatrixGreen.30,0.04186
mSHRenderMatrixGreen.31,0.04863
mSHRenderMatrixGreen.32,0.0094
mSHRenderMatrixGreen.33,0.34662
mSHRenderMatrixBlue.00,-0.0002
mSHRenderMatrixBlue.01,0.01966
mSHRenderMatrixBlue.02,-0.00819
mSHRenderMatrixBlue.03,0.03629
mSHRenderMatrixBlue.10,0.01966
mSHRenderMatrixBlue.11,0.0002
mSHRenderMatrixBlue.12,-0.00766
mSHRenderMatrixBlue.13,0.04599
mSHRenderMatrixBlue.20,-0.00819
mSHRenderMatrixBlue.21,-0.00766
mSHRenderMatrixBlue.22,0.02313
mSHRenderMatrixBlue.23,0.03074
mSHRenderMatrixBlue.30,0.03629
mSHRenderMatrixBlue.31,0.04599
mSHRenderMatrixBlue.32,0.03074
mSHRenderMatrixBlue.33,0.39185
xFogColour.x,0.3
xFogColour.y,0.6
xFogColour.z,0.9
xFogColour.w,1
xFogStart,15
xFogEnd,300
xFogMax,0.65
mKeyLightColour.x,0
mKeyLightColour.y,0
mKeyLightColour.z,0
mKeyLightColour.w,0
mKeyLightDirection.x,0.01
mKeyLightDirection.y,-1
mKeyLightDirection.z,-0.02
mCascadedShadowDistances.x,7.5
mCascadedShadowDistances.y,14
mCascadedShadowDistances.z,44
mCascadedShadowDistances.w,7.5
mBloomScale,9
mBlurWidth,4
mBlurDeviation,8
mExposureMinimum,0.3
mExposureMaximum,1.2
mDesiredLuminance,0.02
mTransitionRate,0.02
mShadowDepthBiases.x,0.001
mShadowDepthBiases.y,0.002
mShadowDepthBiases.z,0.003
mShadowDepthBiases.w,-0.126
mCSMAttenuationParameters.x,3
mCSMAttenuationParameters.y,6
mCSMAttenuationParameters.z,0.4
mCSMMaxYHeight,6
mAttenuatedLightDirection.x,0.01
mAttenuatedLightDirection.y,-1
mAttenuatedLightDirection.z,-0.02
mNumActiveShadowCascades,4
mBloom1Scale,1
mBloom1Width,2
mBloom1Deviation,8
mBloom2Scale,2
mBloom2Width,8
mBloom2Deviation,8
mBloom3Scale,4
mBloom3Width,12
mBloom3Deviation,8
mColourCubeIdx,5
mCombinedCameraBlurCutoff,0.001
mCombinedVelocityRangeScale,10
mCombinedCameraBlurScale,0.2
xCombinedDOFBlurWidth,1
xCombinedDOFBlurDeviation,4
xCombinedDOFNearFuzzy,0
xCombinedDOFNearSharp,3
xCombinedDOFFarSharp,20
xCombinedDOFFarFuzzy,100
xCombinedDOFBlendScale,2
mCombinedObjectBlurDepthOffset,0.005
mCombinedObjectBlurVelocityScale,1
mCombinedVelocityBlurBlendScale,10
mCombinedVelocityMagnitudeClamp,1
mCombinedQuantizedDepthMin,0
mCombinedQuantizedDepthMax,50
mCharacterRimLightColour.x,0.25
mCharacterRimLightColour.y,1.75
mCharacterRimLightColour.z,1.25
mZombieRimLightColour.x,0.25
mZombieRimLightColour.y,1.75
mZombieRimLightColour.z,1.25
