# ------------------------------------------------------------------------------------------
# wid_name,	name string,	subtitle string,	desc string,	
#
a101_bennyjacks_bbqshack_f2,	723,	724,	725,	711,	
americana_f2,	10508,	10508,	732,	711,	
royalflush_f2,	10508,	10508,	834,	832,	
r201,	790,	791,	792,	832,	
r202,	793,	794,	795,	832,	
r203,	796,	797,	798,	832,	
r204,	799,	800,	801,	832,	
r205,	802,	803,	804,	832,	
r206,	805,	806,	807,	832,	
r207,	808,	809,	810,	832,	
r208,	811,	812,	813,	832,	
r209,	814,	815,	816,	832,	
r210,	817,	818,	819,	832,	
r211,	820,	821,	822,	832,	
r212,	823,	824,	825,	832,	
r213,	826,	827,	828,	832,	
r214,	766,	767,	768,	832,	
palisades_f2,	10508,	10508,	1408,	1406,	
p201,	1451,	1452,	1453,	1406,	
p202,	1454,	1455,	1456,	1406,	
p203,	1457,	1458,	1459,	1406,	
p204,	1460,	1461,	1462,	1406,	
p205,	1463,	1464,	1465,	1406,	
p206,	1466,	1467,	1468,	1406,	
p207,	1469,	1470,	1471,	1406,	
p208,	1472,	1473,	1474,	1406,	
p209,	1475,	1476,	1477,	1406,	
p210,	1478,	1479,	1480,	1406,	
p211,	1481,	1482,	1483,	1406,	
p212,	1484,	1485,	1486,	1406,	
p213,	1487,	1488,	1489,	1406,	
p214,	1436,	1437,	1438,	1406,	
p215,	1490,	1491,	1492,	1406,	
p216,	1493,	1494,	1495,	1406,	
p217,	1496,	1497,	1498,	1406,	
p218,	1499,	1500,	1501,	1406,	
pawnshop,	-131.8,	5.9,	-111.9,	LEVEL_ROYAL_FLUSH,	
savepoint,	253.3,	6.9,	-94.2,	LEVEL_PALISADES,	
workbench_4,	145.5,	6.9,	-118.9,	LEVEL_PALISADES,	
pawnshop,	264.4,	6.9,	-190.7,	LEVEL_PALISADES,	
